"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Ghana","GHA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7","","","","","","","","","","31.9","","","","","","","",
"Gibraltar","GIB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5","32.8","33.9","37","38.4","37.7","36.8","37.2","37.7","39.3","39.7","39.9","40.2","41.6","41.5","41.9","41.5","41","","41.2","40.8","40.5","43.5","","","","","",
"Guinea","GIN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3","18.3","18.3","18.3","","","","","",
"Gambia, The","GMB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9","31.7","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","34.8","35.9","36.3","36.4","37.6","37.7","38.8","38","38.8","39.1","39.5","39.8","40.2","41.1","41.2","41.9","42.2","40","40.7","41","41.9","43","42.9","","","","",
"Grenada","GRD","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4","","42.6","","42.6","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9","49.7","49.7","49.4","48.8","49.6","49.1","49.4","49.5","49.3","","","","","","","","","","","","",
"Guatemala","GTM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","38.4","","","","","","","","","","","31.7","","","","","","","","30","31","28.9","36.9","","","","",
"Guam","GUM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3","43.8","45.9","45.2","45.3","45.6","45.7","45.8","42.4","43.3","44.5","44.6","44.1","43.3","43.1","42.9","44.7","43.6","","","","","",
"Guyana","GUY","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","","","","","34.7","","","","","","","","","","","","","","","",
"High income","HIC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2826405460494","43.5414113864476","43.763553320635","43.9473586111595","44.0785133148776","44.2512732562147","44.4801560122998","44.5255328411884","44.5886015751582","44.8587676075574","44.9745309588465","45.2077504410599","45.4739799703462","45.91350016395","45.9578296007533","45.988994767739","45.9446746950276","46.0625259738691","46.0970162604453","46.8867750102927","47.0303517526009","46.616954235052","47.0547063659093","46.8621739903574","","","","",
"Hong Kong SAR, China","HKG","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2","41.5","41.6","42","42.2","42.5","42.6","43.3","43.7","44.1","44.8","45.5","45.9","46.8","47.3","47.8","47.9","48.2","48.6","49.6","49.5","49.6","49.6","","","","","",
"Honduras","HND","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4","","40.8","","","","42.6","43.2","42.4","42.4","","42","40.9","40.6","42.5","41.5","42.2","41.9","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2","43.8","44.8","45.7","46.4","46.6","46.7","46.9","47.7","47.7","47","46.5","46.6","46","45.5","45.9","46.9","45.7","45.8","47.1","47","46.6","46.9","47.9","","","","",
"Haiti","HTI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.2","49.4","48.9","48","48","47.5","48.1","48.7","48.6","48.5","48.4","49.1","48.9","48.7","48.3","48","48.4","48.6","49.2","48.8","48.8","48.2","","","","",
"IBRD only","IBD","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5986215243897","32.3939995362607","32.9097023030514","33.7794568274379","33.6776497518523","35.0874279944401","35.3166683658244","35.4597417533533","34.8722477389953","35.5586130883425","","","","","33.4351392409254","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6625743477507","31.7325670456263","32.4897111998784","33.3606440881877","33.2393368732487","34.6389744666966","34.8570596000474","35.1645183351191","34.5916967616182","34.8075063645579","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9087612252036","21.7856223916189","22.3726057187916","22.3911625254488","22.7009698970901","23.2868916235883","23.0398511874914","","","","","","","","","","","","",
"Indonesia","IDN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2","30.1","30.4","30.3","30.1","29","29.6","30","31.3","31.1","31.7","30.7","29.7","29.5","29","30.3","31.3","30.9","32.4","33.5","32.9","","","35.1","","","","",
"IDA only","IDX","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","13","13.3","13.7","14.1","14.4","14.9","15.5","16","16.3","16.6","16.8","17.3","17.6","17.9","18.1","","","","19.1","19.3","","","","","","","",
"Not classified","INX","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","41.4","42.8","43.4","44","44.4","44.7","45.2","45.7","46.1","46.3","46.5","47.5","47.4","47.5","47.7","47.6","48.4","49.2","51.6","51.7","51.8","51.5","51.5","","","","",
"Iran, Islamic Rep.","IRN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","10.8","11.2","11.6","12","","","14.8","15.4","14.1","13.6","11.6","12","12.1","13","16.1","","","","15.3","15.3","","","","","","","",
"Iraq","IRQ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","15.3","","12.1","","","","","","","","","",
"Iceland","ISL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5","52.4","52.9","53.6","54.3","53.3","51.9","52.2","52.6","52.4","52.3","53","51.7","51.4","52","50.9","49.9","49.2","51.1","51.6","51.5","51.4","51","","","","",
"Israel","ISR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","42.9","43.6","44.1","44.8","45.5","46.1","46.6","47.5","48","48.3","48.4","48.7","48.9","48.7","49.3","49","49","49.3","49.8","50","49.5","49.1","51.3","","","","",
"Italy","ITA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","36","36.4","36.6","37.2","37.6","38.4","38.6","39.1","39.5","40.3","41.1","41.3","41.7","42.5","42.6","42.8","43","43.5","43.9","44.3","44.6","45.3","45.6","","","","",
"Jamaica","JAM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3","47.2","47.5","48.4","48.3","47.3","46.9","46.2","46.6","45.2","45","44.9","46.2","46.3","45.2","45.6","45.8","46.3","48.2","","47.6","","47.5","","","","","",
"Jordan","JOR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11.3","11.5","11.7","12","12.2","13.8","14","14.2","14.4","14.1","14.9","13.9","","13.7","15.5","15.8","15.7","","","","","","","","","",
"Japan","JPN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38.4","38.6","38.7","38.9","38.9","39.2","39.5","39.6","39.7","40","40.4","40.6","40.8","41.2","41.3","41.6","41.6","41.8","42.3","42.6","42.7","42.8","43.3","","","","",
"Kazakhstan","KAZ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5","48.1","48.7","49.4","49.1","49.9","50.1","50","49.8","49.5","49.9","50","50.6","","","","",
"Kenya","KEN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","22.2","24.2","23","25.5","26.6","29.4","32.2","","","","","","","","","","","","","","","36.4","35.7","","","","",
"Kyrgyz Republic","KGZ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","43.6","42.9","43.3","42.8","","","43.1","42.5","41.9","42","41.5","","","","",
"Cambodia","KHM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","43.3","","","43.5","","","","","","41.1","","40.9","","","","","",
"Kiribati","KIR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","","","","","38.5","","","","","43.9","","","","","","","",
"St. Kitts and Nevis","KNA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1","38","37.8","37.6","38","38","38.5","39.1","38.3","39.3","40.1","40.8","41.1","41.2","41.6","41.8","42","42.1","42.2","42.1","42.4","42.5","42.9","43.1","","","","",
"Kuwait","KWT","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.2","","","","","","","25.8","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2256676289816","","","39.8689400140269","","40.785712345294","40.1786754227815","40.3441655195005","","","","","42.7395500207353","43.2434789115955","42.9355470567743","43.1632892332056","43.2504193010467","43.3208565314965","","43.739291162941","","43.368555933177","43.2254285003181","43.8353171259974","","","","",
"Lao PDR","LAO","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3","","","","","","","","","","","","","","","32.1","","","","","34.6","","","","","","","",
"Lebanon","LBN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3","","","32.4","","","","","","","","","","",
"Liberia","LBR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","","","","","","",
"Libya","LBY","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8","47.4","49.2","48.5","47.6","51.3","49.4","","47.8","45.9","47.5","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2658925232014","","","39.8544269391014","","40.7224796125051","40.1208923720282","40.2808081667833","","","","","42.5342463262581","43.0227601974949","42.7105543122671","42.988340932074","43.0547667826217","43.1130259748632","","43.596155420475","","43.2424495945978","43.1184143644662","43.7248152215203","","","","",
"Least developed countries: UN classification","LDC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7","38.7","39.1","38.9","39.1","39.4","","","","43.7","43.8","44.4","44.2","","","","","",
"Sri Lanka","LKA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","33.5","32.3","32.4","32.6","33.1","31.7","32.3","31.1","34.6","33.1","34.2","33.1","32.7","32.3","32.4","32.4","","","","",
"Lower middle income","LMC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6983431889938","19.0459725412922","19.3620424738602","19.5562287366375","19.769658274034","22.5631177723399","24.6583108472434","24.7933515259469","25.6559140439749","24.9718173791194","25.1867705403863","25.1331044277996","25.3007629553846","24.9058018924407","25.3963989578788","23.8491721263857","","","","26.0818035399469","26.1218076898581","","","","","","","",
"Low & middle income","LMY","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7378207534232","31.7162843687279","32.4732819240903","33.3464776393466","33.2124453351151","34.4893402256247","34.7206633290263","35.0392061055406","34.4701829510751","34.6907326048709","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.6","","51","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.335329104555","38.2612296448648","38.1792064266868","39.2179459310025","39.4788136691725","40.4112114810514","40.4163116958129","40.5285169056976","39.7015014376948","40.6744526120408","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.4","54.3","53.5","53.4","52.4","52.7","52.4","51.9","51.8","53.3","54","54.6","52","52.7","51.4","51.5","52.1","52.1","52.1","54.6","54.8","53.7","53.7","53","","","","",
"Luxembourg","LUX","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.6","41.9","42.4","43.9","44.7","43","41.1","48.6","41.1","49.3","44.6","","","","",
"Latvia","LVA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4","","51.6","50.6","50.8","51.3","51.1","50.3","50.5","53","52.8","52.2","50.4","52","51.6","51.3","52","54.8","55.2","54.5","53.8","53.2","","","","",
"Macao SAR, China","MAC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","42.8","44","43.6","45","45.3","46.5","46.5","47.4","48.8","48.9","48.8","50.2","49","49.4","49.5","48.1","48.1","","50","50.1","50.9","50.2","48","","","","",
"St. Martin (French part)","MAF","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","","","","","","","","22.1","23.2","22.9","22.8","21","20.7","20.8","20.6","21.1","21.2","21.5","","","","","",
"Monaco","MCO","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9","52.8","52.6","53.6","54.6","54.6","54.9","53.5","54.6","54.1","54.3","55","54.9","54.9","54.6","","","","",
"Madagascar","MDG","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8","","","","","","","","","","37.2","","37.7","","","","","35.4","","37.3","","","","","",
"Maldives","MDV","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","","","","","32.4","","","","","40.6","","","","","","30","","","","40.5","","","","","","","",
"Middle East & North Africa","MEA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9326540377545","21.2262003365216","19.7116421511221","19.4341185789718","","","","20.1311944176329","19.4054428818499","19.9181523696572","","","","","","","",
"Mexico","MEX","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","","34.9","","36.1","36.2","36.3","36.4","36.4","37.3","37.3","37.5","36.9","37.5","39.1","39.3","39.4","39.4","39.7","39.4","39.6","40","40.3","","","","",
"Marshall Islands","MHL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1300392214661","31.9187925583345","32.6337006058168","33.5004701823216","33.3565173461256","34.6714700409421","34.7813538517642","35.1460558235766","34.5253519465114","34.8335573327044","","","","","","","","","","","","","","","","","","",
"Macedonia, FYR","MKD","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3","38.2","38.5","38.8","38.5","38.5","38.7","39.5","40.3","41.3","41.6","41.9","42.2","44.1","43.2","42.6","42.6","43","41.9","42.2","42.2","42.4","41.9","41.6","","","","",
"Mali","MLI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3","","","","","","","34.6","","","","","","","","","","","","","",
"Malta","MLT","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4","28.7","29.4","29.8","30.4","31","32.9","32.5","34.8","32.6","32.5","33.8","34","35.3","36.4","36.7","37.5","38.3","39.5","41.1","","","","",
"Myanmar","MMR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7","","","","","33.6","35.2","","35.7","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4162782697185","","","","","","","16.1650128371627","18.9460603425546","17.1942980596204","16.8789650024932","17.7882538364981","","","","17.0539080570148","17.1629295585963","","","","","","","",
"Montenegro","MNE","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7","39.8","40.1","41.7","42.4","42.4","43.2","44","44.3","","","","43.4","","","","46.3","","46.8","47.2","","","","","",
"Mongolia","MNG","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5","47.3","46.2","47.1","46.6","47","46.9","48.6","48.9","49.9","49.3","51.2","51.2","52","51.2","51.1","52","52.3","50.6","49.9","","","","","",
"Northern Mariana Islands","MNP","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","43.9","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4","36.1","36.6","36.9","36.4","37.1","37.1","37.4","38.2","38.4","38.6","39","38.1","38.4","37.5","36.9","37.2","37.2","37","37","37.7","38.4","38.3","","","","","",
"Malawi","MWI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","10.4","10.6","10.6","10.8","11.3","","","","","","","","","","","","","","","","","","","","","","",
